,peakBase,scanNumber,absIntensityUnSub,TIC*IT,ftRes,peakNoiseUnSub,integTime,peakRes,massUnSub,retTime,tic,countsUnSub,sumAbsIntensity,absIntensity15N,peakNoise15N,mass15N,counts15N,absIntensity13C,peakNoise13C,mass13C,counts13C,15N/UnSub,13C/UnSub,13C/15N
107,93700.63,133.0,17600000000.0,1669269.0,120000.0,1027419.0,0.06,172107.0,140.0317,5.65,27800000000.0,75373.33843349208,,771000000.0,1044904.0,141.0349,3246.6140430125643,67544032.0,1044796.0,141.0287,284.45145348948506,0.04307377264279346,0.0037739001535732597,0.08761480413777174
108,117187.3,134.0,20900000000.0,1997244.0,120000.0,1117646.0,0.06,169607.0,140.0317,5.65,33300000000.0,82280.07794954754,21837085178.0,937000000.0,1137886.0,141.0349,3623.210057949567,70282784.0,1137761.0,141.0287,271.8007117487768,0.044035082953752726,0.0033033599204346817,0.07501654814421475
109,121427.8,135.0,21900000000.0,2094804.0,120000.0,1123493.0,0.06,171007.0,140.0316,5.65,34900000000.0,85768.22463513346,,1000000000.0,1142989.0,141.0348,3849.5558574929423,81030048.0,1142868.0,141.0285,311.96272115414905,0.04488324054589372,0.0036372761880203238,0.08103862697483173
110,127969.5,136.0,23100000000.0,2245310.0,120000.0,1145715.0,0.06,171707.0,140.0316,5.66,37400000000.0,88713.1616501486,24160381814.0,1060000000.0,1165916.0,141.0348,4000.288185426738,75052944.0,1165791.0,141.0286,283.2694313131599,0.04509238664272132,0.0031930936294466447,0.07081225606323201
111,128343.5,137.0,22700000000.0,2208255.0,120000.0,1189453.0,0.06,172203.0,140.0316,5.66,36800000000.0,83971.37171456123,23750909568.0,1050000000.0,1209057.0,141.0348,3821.1597964363964,76329736.0,1208935.0,141.0286,277.8071926116789,0.04550550644123609,0.0033083560139521356,0.07270232270075729
112,110840.8,138.0,19400000000.0,1875400.0,120000.0,1115820.0,0.06,171807.0,140.0316,5.67,31300000000.0,76499.79387356385,20249520756.0,848000000.0,1133453.0,141.0349,3291.8877095036146,65371232.0,1133343.0,141.0286,253.79203012680188,0.0430313278352662,0.0033175518164958767,0.07709619905749195
113,134917.0,139.0,23200000000.0,2237375.0,120000.0,1164513.0,0.06,173107.0,140.0316,5.67,37300000000.0,87658.96129970212,24223061638.0,1020000000.0,1184319.0,141.0349,3789.5195466761916,70806264.0,1184195.0,141.0286,263.08805695008004,0.04323025838419408,0.003001268245132333,0.06942517480371252
114,134525.5,140.0,22900000000.0,2225194.0,120000.0,1179527.0,0.06,171603.0,140.0317,5.68,37100000000.0,85424.0725307687,23885425542.0,979000000.0,1200644.0,141.0349,3587.741245531565,77146880.0,1200513.0,141.0287,282.75101727344895,0.041999182891207916,0.0033099688284190095,0.07881031488143347
115,139784.1,141.0,24200000000.0,2391109.0,120000.0,1182763.0,0.06,171507.0,140.0316,5.68,39900000000.0,90026.48882320465,25237228509.0,1030000000.0,1205218.0,141.0348,3760.3155611681873,77855656.0,1205079.0,141.0286,284.2675761506092,0.04176899055291105,0.003157599278461899,0.07559673424384045
116,115390.6,142.0,20300000000.0,1982185.0,120000.0,1099920.0,0.06,168903.0,140.0316,5.69,33000000000.0,81205.9058840643,21167885256.0,859000000.0,1117690.0,141.0349,3381.6174431192912,76346960.0,1117580.0,141.0286,300.58396177454864,0.04164250624760155,0.0037015037084086604,0.08888763049946957
117,120198.3,143.0,21600000000.0,2095129.0,120000.0,1142009.0,0.06,172302.0,140.0316,5.69,34900000000.0,83221.76094934453,22431780163.0,819000000.0,1160831.0,141.0348,3104.327847895172,73901408.0,1160714.0,141.0285,280.1432525152622,0.037301876486183896,0.0033662259644539356,0.09024280496185601
118,77774.08,144.0,15300000000.0,1462546.0,120000.0,973257.3,0.06,168402.0,140.0316,5.69,24400000000.0,69169.78685903513,15887272296.0,572000000.0,988191.8,141.0349,2546.8739975377252,55319280.0,988099.1,141.0286,246.3364575476286,0.03682061364057892,0.0035613302965592634,0.09672110115607703
119,55769.8,145.0,12900000000.0,1241538.0,120000.0,861980.6,0.06,170207.0,140.0316,5.7,20700000000.0,65848.34971923963,13438448020.0,518000000.0,873751.8,141.0349,2608.5210926031855,43939108.0,873678.8,141.0286,221.28507089790895,0.03961406935367775,0.0033605256903386552,0.08483162030983483
120,43303.66,146.0,10900000000.0,1046056.0,120000.0,841255.3,0.06,170102.0,140.0316,5.7,17400000000.0,57010.04201697154,11363501600.0,436000000.0,850068.9,141.0349,2256.758246302153,46251872.0,850013.9,141.0286,239.4175398778773,0.039585275969983146,0.004199567855196531,0.10608913926433133
121,28282.68,147.0,8820000000.0,855682.0,120000.0,756055.1,0.06,169802.0,140.0316,5.71,14300000000.0,51329.59224797241,9190617972.0,343000000.0,763142.6,141.0349,1977.6120478662838,32197284.0,763098.4,141.0286,185.64846892615682,0.038527717857419805,0.0036167922010619555,0.09387506974710211
122,23479.91,148.0,7260000000.0,700027.0,120000.0,706032.6,0.06,168307.0,140.0316,5.71,11700000000.0,45244.36973590172,7587795796.0,297000000.0,712312.9,141.0349,1834.587019272008,25335122.0,712273.8,141.0287,156.50517652060205,0.04054840480662615,0.0034591083362227526,0.08530812377747318
123,15757.9,149.0,5850000000.0,561609.0,120000.0,664680.9,0.06,172802.0,140.0316,5.72,9360000000.0,38725.349261578,6108802044.0,221000000.0,671933.3,141.0349,1447.1674495072652,16089346.0,671888.3,141.0287,105.36442203265038,0.03737002963438981,0.002720812698704036,0.07280734656416235
124,10986.22,150.0,5430000000.0,530240.0,120000.0,629882.6,0.06,169807.0,140.0316,5.72,8840000000.0,37930.87791280471,5690278384.0,222000000.0,634460.8,141.0349,1539.5750218137985,20173350.0,634432.3,141.0287,139.90892330040572,0.04058896357086606,0.0036885232032337232,0.09087502805519457
125,7342.67,151.0,4480000000.0,436161.0,120000.0,594818.4,0.06,173202.0,140.0316,5.72,7270000000.0,33139.52628230734,4692903708.0,177000000.0,596894.1,141.0349,1304.7540593884244,14111315.0,596881.1,141.0287,104.02370924460502,0.0393715362215365,0.0031389618656118686,0.07972667990269669
126,1500.22,152.0,4060000000.0,397537.0,120000.0,589565.5,0.06,169107.0,140.0316,5.73,6630000000.0,30300.280460780017,4287674836.0,179000000.0,591148.9,141.0349,1332.3208416695018,13923880.0,591139.1,141.0287,103.63901152875864,0.043970577876136396,0.003420397763740391,0.07778832867231206
127,5324.66,153.0,3350000000.0,322808.0,120000.0,565256.3,0.06,170602.0,140.0316,5.73,5380000000.0,26076.66646086032,3537167980.0,132000000.0,568681.2,141.0349,1021.3103580705676,12642238.0,568659.9,141.0287,97.81918366320538,0.0391656793863395,0.003751215049286562,0.09577811768011711
128,1545.58,154.0,3030000000.0,298343.0,120000.0,544978.6,0.06,171307.0,140.0316,5.74,4970000000.0,24463.345900187644,3202712524.0,122000000.0,547490.6,141.0349,980.4734547040626,10612028.0,547475.1,141.0287,85.28775683131526,0.040079286729806735,0.003486348808511148,0.08698629873366409
129,1481.66,155.0,2860000000.0,286031.0,120000.0,536464.7,0.06,172102.0,140.0316,5.74,4770000000.0,23457.275008029424,3031525792.0,112000000.0,537378.8,141.0349,917.0439920592327,9864784.0,537373.1,141.0287,80.77265051041819,0.03909422521351387,0.0034433944472565424,0.0880793628330112
130,-1209.51,156.0,2510000000.0,253452.0,120000.0,497637.7,0.06,168607.0,140.0316,5.75,4220000000.0,22192.85235021382,2681514544.0,106000000.0,498669.6,141.0349,935.288615949318,6678614.0,498663.2,141.0287,58.92935672814838,0.04214368667848623,0.002655330454968787,0.0630066010889431
131,2684.67,157.0,2350000000.0,236776.0,120000.0,530993.3,0.06,174007.0,140.0316,5.75,3950000000.0,19472.938735761825,2496459964.0,94830880.0,532907.5,141.0349,782.9799205302985,8273869.0,532895.7,141.0287,68.31547636807728,0.04020861623173317,0.0035082263286032277,0.0872506108736587
132,3172.04,158.0,2150000000.0,213803.0,120000.0,522559.5,0.06,172507.0,140.0316,5.76,3560000000.0,18103.20164498014,2308500016.0,94483816.0,523204.4,141.035,794.5819844022718,8479417.0,523200.4,141.0287,71.31002728591186,0.04389179328522822,0.003939083742443178,0.0897453361462193
133,-80.09,159.0,1930000000.0,206542.0,120000.0,471822.4,0.065,172707.0,140.0316,5.76,3200000000.0,17998.297664544963,2083996176.0,86452144.0,473795.3,141.0349,802.856072232038,5797207.0,473783.2,141.0287,53.838360667917314,0.044607333826553644,0.002991302937164667,0.06705854577177214
134,-496.06,160.0,1560000000.0,186313.0,120000.0,421734.8,0.071,170007.0,140.0316,5.76,2630000000.0,16275.631036376417,1698366256.0,68083472.0,422859.6,141.0349,708.4320110031795,6944424.0,422852.5,141.0286,72.26034042603509,0.04352716090822023,0.004439787327725207,0.10200038860992516
135,-573.85,161.0,1440000000.0,210526.0,120000.0,338926.8,0.087,171907.0,140.0316,5.77,2410000000.0,18694.30213249587,1580423776.0,59393728.0,340688.7,141.0349,767.0709454114563,3486291.0,340677.7,141.0287,45.026957737474454,0.04103233915739891,0.0024085925978057847,0.05869986082359309
136,1817.58,162.0,1290000000.0,203112.0,120000.0,326024.2,0.094,168807.0,140.0316,5.77,2170000000.0,17409.750564528644,1418919396.0,53866452.0,327209.1,141.0349,724.3453461410458,4911662.0,327201.7,141.0287,66.04890133517033,0.04160572797733572,0.00379378791731463,0.09118426961261814
137,545.34,163.0,1250000000.0,227360.0,120000.0,297012.6,0.105,172207.0,140.0316,5.78,2160000000.0,18517.732917728074,1378431560.0,52101824.0,296342.1,141.0349,773.592498669612,3659273.0,296346.3,141.0287,54.331035008704355,0.0417757671582469,0.0029340003579320546,0.07023211199971602
138,2529.83,164.0,1240000000.0,221482.0,120000.0,313610.2,0.105,168607.0,140.0316,5.78,2120000000.0,17397.393324579367,1356618468.0,51247236.0,314332.3,141.0349,717.3549724288597,4839544.0,314327.8,141.0287,67.74454438964673,0.041233474408799334,0.0038939479682818896,0.09443657184151599
139,583.65,165.0,1120000000.0,200401.0,120000.0,292861.3,0.106,170407.0,140.0316,5.79,1890000000.0,16827.07821074345,1238029820.0,47223556.0,294013.5,141.0349,706.7146454159418,3443101.0,294006.3,141.0287,51.528298543262515,0.041998654583107094,0.003062224938751616,0.0729124532475695
140,-560.73,166.0,1070000000.0,216356.0,120000.0,255999.6,0.117,173202.0,140.0316,5.79,1850000000.0,18390.653735396463,1186482600.0,39335720.0,256125.5,141.0349,675.7514109294077,3046199.0,256124.7,141.0287,52.331054365315026,0.036744284387715376,0.0028455244233430116,0.07744128020885743
141,-601.71,167.0,1020000000.0,207747.0,120000.0,261308.2,0.118,173402.0,140.0316,5.79,1770000000.0,17175.121178746016,1138563780.0,40708124.0,262090.8,141.035,683.4110377014379,4117736.0,262085.9,141.0287,69.13015312918398,0.03979075492912096,0.004025016907288644,0.10115457508806715
142,497.69,168.0,945000000.0,204014.0,120000.0,248386.7,0.125,169102.0,140.0316,5.8,1640000000.0,16740.026740562196,1057009516.0,35662556.0,247992.5,141.0349,632.7419030817465,2722236.0,247995.0,141.0287,48.298709248170326,0.03779814171673758,0.002885222944784153,0.07633240190499983
143,57.23,169.0,944000000.0,223373.0,120000.0,230058.6,0.133,170902.0,140.0316,5.8,1680000000.0,18054.53045441466,1055555432.0,37654024.0,229916.5,141.0349,720.599459368945,3608112.0,229917.4,141.0287,69.04954909893728,0.0399123899227601,0.003824499854664091,0.09582237150081471
144,-2580.2,170.0,886000000.0,211383.0,120000.0,225472.4,0.131,169707.0,140.0316,5.81,1610000000.0,17289.92107237959,979564388.0,38245108.0,225190.8,141.0349,747.2706487121144,2170244.0,225192.6,141.0286,42.40402926206279,0.043220015035572885,0.0024525287931940094,0.0567452091623619
145,36.12,171.0,866000000.0,209089.0,120000.0,228286.1,0.136,172607.0,140.0316,5.81,1540000000.0,16691.336003374712,945920732.0,35981624.0,228538.0,141.0349,692.7475763330388,2737026.0,228536.5,141.0287,52.69580307740777,0.04150342286519046,0.003157075207565982,0.07606782741319074
146,-1582.62,172.0,804000000.0,205401.0,120000.0,212872.4,0.141,171207.0,140.0316,5.82,1460000000.0,16618.406143774395,885767628.0,35515756.0,212785.8,141.0349,734.3973441836815,2338383.0,212786.4,141.0287,48.353114672742244,0.044191803824628645,0.002909612044284785,0.0658405358566337
147,-350.93,173.0,758000000.0,206403.0,120000.0,199574.6,0.149,172307.0,140.0316,5.82,1380000000.0,16711.54545718744,820487384.0,30290100.0,199916.5,141.0349,666.6605307715972,1874756.0,199914.3,141.0287,41.26231290107812,0.03989221299008431,0.0024690901871874263,0.0618940390146104
148,-101.1,174.0,731000000.0,210977.0,120000.0,190197.1,0.158,169907.0,140.0316,5.83,1340000000.0,16910.878241571507,788035196.0,31700074.0,190315.7,141.0349,732.8892235375222,2772600.0,190315.0,141.0287,64.101305729974,0.043338330101383056,0.003790536766588247,0.08746383992463244
149,-1331.87,175.0,724000000.0,218969.0,120000.0,180845.6,0.165,170102.0,140.0316,5.83,1330000000.0,17615.026298676883,767596306.0,27506960.0,180930.7,141.0349,668.93359722811,2781804.0,180930.1,141.0287,67.65009028348517,0.03797516880677922,0.0038404762579642908,0.10113124914611835
150,-562.01,176.0,690000000.0,208055.0,120000.0,191025.1,0.164,170907.0,140.0316,5.83,1270000000.0,15893.199375370043,740355938.0,30182588.0,191183.1,141.0349,694.6397835373525,1900349.0,191182.1,141.0287,43.73597528220477,0.04370673060415057,0.002751867276640545,0.06296209390640664
151,-399.43,177.0,631000000.0,201144.0,120000.0,173614.1,0.171,172807.0,140.0316,5.84,1180000000.0,15991.788685365993,670405413.0,25294098.0,174050.1,141.0349,639.4367552790835,2001913.0,174047.4,141.0287,50.609300684756,0.03998531795659787,0.0031647054423041697,0.07914668693492206
152,-1932.44,178.0,628000000.0,224573.0,120000.0,156816.8,0.188,168802.0,140.0316,5.84,1200000000.0,17620.56106233516,666687338.0,24763458.0,156940.1,141.0349,694.2726250333727,2017935.0,156939.3,141.0287,56.5754658011091,0.0394012780056939,0.0032107641522290693,0.08148883271667177
